age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
37;admin.;married;primary;no;214;yes;no;cellular;9;jul;645;1;-1;0;unknown;yes
59;technician;married;secondary;no;1;no;no;cellular;14;oct;585;1;182;5;success;yes
27;services;married;secondary;no;0;yes;no;cellular;22;jul;1608;13;-1;0;unknown;yes
43;blue-collar;single;primary;no;0;no;no;cellular;9;jul;1242;1;-1;0;unknown;yes
75;retired;divorced;secondary;no;1341;no;no;cellular;18;dec;415;7;-1;0;unknown;yes
26;technician;single;secondary;no;223;no;yes;cellular;21;jul;1002;3;-1;0;unknown;yes
45;management;married;tertiary;no;212;no;no;cellular;21;apr;65;2;-1;0;unknown;yes
52;retired;divorced;tertiary;no;3687;yes;yes;unknown;16;jun;741;4;-1;0;unknown;yes
53;management;married;unknown;no;2240;yes;no;cellular;2;jun;282;2;385;1;success;yes
39;technician;married;secondary;no;603;no;yes;cellular;15;apr;214;1;-1;0;unknown;yes
45;unemployed;married;secondary;no;891;yes;no;unknown;7;jan;118;1;-1;0;unknown;yes
54;technician;divorced;secondary;no;2156;yes;no;cellular;3;feb;261;1;195;4;failure;yes
35;services;married;unknown;no;618;no;no;cellular;30;apr;951;1;-1;0;unknown;yes
29;services;single;unknown;no;196;no;no;cellular;30;jan;726;2;-1;0;unknown;yes
27;technician;single;secondary;no;158;no;no;unknown;1;jul;650;2;-1;0;unknown;yes
43;technician;married;secondary;no;136;no;no;cellular;25;aug;363;7;-1;0;unknown;yes
45;entrepreneur;married;tertiary;no;20138;yes;no;cellular;20;nov;871;5;-1;0;unknown;yes
62;self-employed;divorced;tertiary;no;6;yes;no;cellular;13;oct;216;1;183;4;success;yes
61;retired;married;secondary;no;86;no;no;cellular;25;jan;639;1;94;1;success;yes
52;blue-collar;married;secondary;no;955;no;yes;cellular;17;jun;301;2;134;4;success;yes
25;student;married;tertiary;no;10;yes;no;cellular;21;jul;857;4;-1;0;unknown;yes
52;services;married;primary;no;306;yes;no;cellular;13;may;650;5;-1;0;unknown;yes
26;technician;married;secondary;no;267;yes;no;cellular;28;jul;817;2;-1;0;unknown;yes
30;blue-collar;married;secondary;no;61;yes;no;cellular;5;may;525;1;-1;0;unknown;yes
54;technician;single;tertiary;no;467;yes;no;cellular;18;jul;674;3;-1;0;unknown;yes
31;technician;married;tertiary;no;636;yes;no;cellular;4;may;352;4;-1;0;unknown;yes
25;admin.;single;secondary;no;483;no;yes;cellular;3;feb;189;1;-1;0;unknown;yes
21;student;single;unknown;no;53;no;no;cellular;14;jun;270;1;-1;0;unknown;yes
